number,lemma,ipm,rang
1,быть,12160.7,6
2,мочь,2912.3,37
3,сказать,2396.6,42
4,говорить,1755,58
5,знать,1713.8,61
6,стать,1621.8,62
7,хотеть,991.3,92
8,идти,957.1,95
9,иметь,906.7,99
10,видеть,818.2,113
11,думать,755.5,123
12,сделать,743.5,124
13,жить,725.5,126
14,делать,701.1,134
15,смотреть,667.2,136
16,работать,611.2,148
17,понять,588.2,152
18,пойти,587.2,153
19,спросить,573.9,155
20,дать,573.1,157
21,понимать,559.7,160
22,получить,557.7,161
23,сидеть,538.1,169
24,оказаться,531.9,172
25,взять,525.8,175
26,прийти,523.3,176
27,являться,522.9,177
28,любить,503.1,181
29,стоить,501.9,182
30,остаться,482.7,194
31,выйти,480.9,195
32,начать,473.3,198
33,считать,455.3,206
34,увидеть,452.4,209
35,казаться,448.2,211
36,писать,444.3,213
37,найти,424.1,222
38,стоять,419.3,224
39,решить,409.7,232
40,пройти,398.4,242
41,принять,386.9,251
42,давать,370.7,262
43,ответить,370.4,263
44,помнить,363.1,269
45,ждать,360.2,271
46,находиться,342.7,287
47,написать,336.2,294
48,оставаться,327.4,304
49,играть,319.1,310
50,лежать,318.1,312
51,подумать,315.6,316
52,уйти,315.6,317
53,посмотреть,314.2,321
54,вернуться,311.2,325
55,следовать,305.1,331
56,читать,304.4,332
57,бывать,297.3,341
58,ходить,296.6,342
59,начинать,296,344
60,появиться,294.6,345
61,называть,293.4,348
62,прийтись,285.5,358
63,хотеться,285.3,359
64,вести,280.3,371
65,показать,277.7,375
66,поставить,267.3,391
67,бояться,266.5,392
68,происходить,263.6,395
69,существовать,260.9,401
70,становиться,259.3,404
71,слышать,256.1,411
72,смочь,255.1,413
73,заметить,253.9,414
74,использовать,249.6,422
75,пытаться,249.4,423
76,представить,247.2,427
77,чувствовать,246.9,428
78,создать,245.9,429
79,заниматься,240.8,440
80,продолжать,240.6,441
81,слушать,239.5,445
82,узнать,238.1,447
83,приехать,234.4,456
84,отвечать,232.4,459
85,рассказывать,230,465
86,рассказать,229.4,468
87,представлять,228.5,470
88,брать,226.3,477
89,забыть,226,478
90,провести,222,485
91,спать,221.9,486
92,помочь,218.8,497
93,приходить,218.2,499
94,просить,215.9,503
95,вспомнить,215.5,504
96,открыть,214.8,505
97,привести,214.7,506
98,оставить,210.5,515
99,спрашивать,208.3,520
100,принимать,207.7,521
101,искать,206.9,523
102,войти,205.5,531
103,назвать,205.1,534
104,успеть,203.4,540
105,произойти,203.2,541
106,выходить,201.6,547
107,предложить,201.2,549
108,пить,200.9,551
109,глядеть,199.3,554
110,ехать,198.2,560
111,попасть,197.7,565
112,начаться,197.4,567
113,верить,197.1,568
114,держать,196.5,573
115,позволять,194.3,575
116,купить,192.7,580
117,уходить,192.7,581
118,собираться,192.6,582
119,относиться,191.6,585
120,требовать,190.9,587
121,подойти,190,592
122,удаться,189.1,594
123,получать,188.2,596
124,умереть,179.7,622
125,сесть,175.9,636
126,случиться,175.8,638
127,проходить,175.4,642
128,составлять,175,643
129,приходиться,174.5,646
130,установить,174,649
131,поднять,173.8,652
132,стараться,172.8,656
133,уметь,172.5,657
134,встать,172.1,658
135,проводить,167.6,678
136,бросить,166.5,683
137,объяснить,161.4,705
138,снять,161.3,708
139,нравиться,160.6,711
140,услышать,160.4,712
141,связать,160.2,714
142,позволить,159.6,718
143,поехать,158.4,728
144,положить,158.1,729
145,входить,157.9,730
146,оказываться,155.1,746
147,показывать,155,748
148,вызвать,154.9,750
149,касаться,154.7,751
150,отметить,154.3,757
151,заявить,154.2,758
152,действовать,153.5,764
153,получиться,149.3,782
154,кричать,147.3,792
155,остановиться,147,797
156,предлагать,145.9,805
157,убить,144.7,811
158,молчать,144.5,813
159,согласиться,144.2,814
160,сообщить,143.8,822
161,бежать,143.6,824
162,петь,143.2,828
163,вызывать,142.4,833
164,показаться,142.4,835
165,принести,141.9,841
166,выглядеть,141.7,844
167,служить,140.3,850
168,попросить,140.2,852
169,состоять,139.9,854
170,отдать,139.8,856
171,выступать,138.8,861
172,ставить,138.7,864
173,возникать,138.4,866
174,надеяться,137.1,876
175,подняться,136.2,881
176,вспоминать,135.9,882
177,называться,135.3,887
178,помогать,134.5,894
179,значить,134,899
180,возникнуть,133.6,900
181,звать,131.3,912
182,позвонить,131,915
183,хватать,130.9,917
184,выпить,129.9,926
185,потерять,129.2,931
186,иметься,128.4,935
187,получаться,127,945
188,учиться,126.9,946
189,возвращаться,125.8,951
190,расти,125.8,952
191,обнаружить,125,955
192,почувствовать,124.2,961
193,передать,123.5,968
194,желать,123.1,972
195,ожидать,123,973
196,составить,121.6,980
197,нести,120.6,988
198,определить,120.6,989
199,пользоваться,120.1,999
200,улыбнуться,119,1007
201,появляться,118.4,1011
202,смеяться,117.9,1016
203,уехать,117.4,1019
204,подходить,116.9,1026
205,судить,116.8,1027
206,родиться,116.7,1028
207,отказаться,115.8,1034
208,считаться,115.7,1036
209,занять,115.6,1038
210,добавить,115.5,1041
211,звонить,115.4,1043
212,носить,115.3,1045
213,начинаться,115.1,1047
214,зависеть,115,1048
215,построить,114.9,1051
216,создавать,114.1,1057
217,встретить,113.5,1062
218,принадлежать,113.5,1063
219,произнести,113.5,1064
220,участвовать,113,1069
221,занимать,112.7,1071
222,улыбаться,111.3,1086
223,направить,109.9,1101
224,обратиться,108.6,1118
225,выбрать,107.9,1125
226,бить,107.5,1127
227,хватить,107.3,1132
228,обещать,107.2,1133
229,встречаться,106.8,1135
230,напоминать,106.2,1143
231,упасть,106,1148
232,перестать,105.8,1149
233,обладать,105.2,1154
234,плакать,103.9,1165
235,состояться,103.1,1172
236,поверить,101.8,1187
237,собрать,101.6,1189
238,простить,101.1,1194
239,рассматривать,100.6,1201
240,перейти,100.5,1202
241,мешать,100.4,1203
242,исчезнуть,99.9,1209
243,объявить,99,1223
244,отличаться,98.9,1224
245,обращаться,98.6,1227
246,снимать,98.5,1231
247,пригласить,98.2,1235
248,соответствовать,98.1,1236
249,закрыть,97.9,1241
250,придумать,97.9,1242
251,попробовать,97.8,1244
252,приводить,97.8,1245
253,достигнуть,97.4,1250
254,утверждать,97.3,1252
255,означать,97,1258
256,платить,96.9,1259
257,решать,96.5,1265
258,определять,95.7,1277
259,наблюдать,95.5,1279
260,погибнуть,95.4,1282
261,разговаривать,95.4,1283
262,устроить,94.9,1289
263,есть,94.7,1290
264,собраться,94.5,1295
265,достать,94.4,1296
266,ездить,93.6,1309
267,понравиться,93.1,1316
268,выполнять,92.3,1325
269,заставить,92.1,1330
270,объяснять,92.1,1331
271,выполнить,91.7,1337
272,указать,91.5,1342
273,вздохнуть,89.7,1363
274,находить,89.5,1365
275,закончить,89.2,1367
276,признать,88.9,1370
277,дойти,88.6,1379
278,кивнуть,88.4,1383
279,обратить,88.3,1387
280,узнавать,88.2,1394
281,встретиться,88.1,1395
282,предусмотреть,87.7,1402
283,обеспечивать,87.5,1409
284,двигаться,87.3,1413
285,содержать,87.2,1417
286,приезжать,86.8,1426
287,держаться,86.4,1430
288,обеспечить,86.4,1431
289,поступить,86,1435
290,привыкнуть,85.9,1437
291,открывать,85.7,1440
292,вырасти,85.3,1448
293,зайти,85.2,1450
294,посвятить,85.1,1453
295,стремиться,85.1,1454
296,измениться,84.5,1466
297,удивиться,84.3,1472
298,падать,84.2,1473
299,звучать,84.1,1475
300,суметь,83.9,1481
301,разработать,83.5,1486
302,поговорить,83.3,1489
303,лететь,82.9,1495
304,совершить,82.9,1496
305,строить,82.2,1504
306,кончиться,82,1508
307,привезти,82,1510
308,сложиться,81.6,1514
309,оставлять,81.4,1515
310,полагать,81.4,1516
311,висеть,81.3,1517
312,повторить,80.9,1531
313,сыграть,80.8,1533
314,спасти,80.1,1541
315,изменить,79.9,1544
316,повторять,79.9,1545
317,явиться,79.8,1548
318,замечать,79.4,1553
319,подать,79.4,1555
320,назначить,79.3,1560
321,протянуть,79.3,1561
322,сохранить,79.2,1564
323,попытаться,79.1,1566
324,расположить,79.1,1567
325,использоваться,79,1568
326,отправиться,78.2,1581
327,садиться,77.9,1586
328,встречать,77.4,1591
329,говориться,77.3,1592
330,крикнуть,77.2,1593
331,готовить,76.7,1600
332,учить,76.7,1602
333,гореть,76.6,1603
334,испытывать,76.6,1604
335,выделить,76.4,1607
336,поддерживать,75.9,1611
337,подниматься,75.9,1612
338,следить,75.8,1614
339,требоваться,75.5,1621
340,включать,75.4,1623
341,собирать,75.1,1630
342,менять,74.9,1633
343,делаться,74.7,1635
344,покупать,74.5,1640
345,предполагать,74.1,1646
346,терять,74,1648
347,послать,73.3,1657
348,допустить,73,1660
349,прочитать,72.7,1667
350,присутствовать,72.5,1669
351,взглянуть,72.4,1671
352,мечтать,72.4,1673
353,подписать,72.4,1674
354,осуществлять,72.2,1678
355,поступать,72.1,1680
356,готовиться,70.9,1704
357,захотеть,70.4,1713
358,бороться,70.3,1716
359,отдавать,70.3,1717
360,остановить,70.2,1720
361,приобрести,70.2,1723
362,включить,70.1,1724
363,продолжаться,69.9,1727
364,подтвердить,69.7,1732
365,спешить,69.7,1735
366,добиться,69.5,1737
367,отправить,69.3,1745
368,повернуться,69.3,1746
369,вставать,69.1,1751
370,подготовить,69.1,1752
371,исходить,69,1753
372,свидетельствовать,68.8,1758
373,ввести,68.6,1759
374,взяться,68.6,1760
375,прочесть,68.6,1762
376,болеть,68.5,1765
377,вернуть,68.5,1766
378,тянуть,68.5,1767
379,продать,68.3,1770
380,представляться,67.8,1777
381,произвести,67.5,1784
382,выступить,67.2,1790
383,пахнуть,67.2,1792
384,познакомиться,67.2,1793
385,наступить,67.1,1798
386,предстоять,66.8,1803
387,производить,66.5,1809
388,перевести,66.4,1812
389,разрешить,66.4,1813
390,проверить,66.1,1817
391,меняться,66,1819
392,выдержать,65.7,1828
393,учитывать,65.6,1833
394,курить,65.5,1834
395,забывать,65.4,1836
396,заключаться,65.4,1837
397,выбирать,65.2,1844
398,напомнить,65.2,1848
399,закричать,65.1,1851
400,организовать,65.1,1852
401,доказать,65,1857
402,приносить,64.9,1861
403,осуществляться,64.7,1864
404,дышать,64.4,1871
405,описать,64.4,1873
406,прожить,64.2,1879
407,оценить,64,1889
408,рассмотреть,63.9,1891
409,проводиться,63.7,1895
410,лечь,63.5,1899
411,превратиться,63.5,1900
412,выпустить,63.4,1903
413,ударить,63.3,1907
414,проснуться,63.1,1914
415,открыться,63,1917
416,способствовать,62.5,1930
417,научиться,62.1,1940
418,умирать,62,1947
419,стрелять,61.7,1951
420,обойтись,61.6,1953
421,записать,61.5,1956
422,определяться,61.5,1959
423,подарить,61.4,1963
424,приняться,61.3,1967
425,заставлять,61,1974
426,схватить,60.9,1979
427,пропасть,60.8,1981
428,выдать,60.4,1987
429,извинить,60.1,1992
430,разобраться,60.1,1993
431,опустить,59.9,1997
432,страдать,59.8,1999
433,заходить,59.6,2000
434,побежать,59.6,2003
435,броситься,59.5,2004
436,гулять,59.5,2005
437,бегать,59.2,2016
438,засмеяться,58.9,2024
439,найтись,58.8,2028
440,приказать,58.8,2029
441,устать,58.6,2037
442,повезти,58.5,2040
443,рассчитывать,58.2,2050
444,опубликовать,58,2053
445,радоваться,57.8,2057
446,выразить,57.7,2060
447,закончиться,57.7,2061
448,обернуться,57.7,2062
449,отпустить,57.6,2066
450,заговорить,57.5,2068
451,внести,57.4,2070
452,устраивать,57.4,2075
453,выясниться,57.2,2078
454,догадаться,57.1,2079
455,изучать,57,2084
456,интересовать,57,2085
457,поднимать,56.9,2090
458,развиваться,56.8,2092
459,обращать,56.6,2097
460,подождать,56.6,2098
461,продавать,56.3,2108
462,бросать,56.2,2110
463,поддержать,56.2,2115
464,запретить,56.1,2119
465,отмечать,56,2126
466,отойти,55.9,2130
467,ощущать,55.9,2131
468,прибыть,55.7,2137
469,случаться,55.5,2144
470,сойти,55.4,2148
471,поймать,55.2,2154
472,заключить,55.1,2157
473,признаться,55.1,2159
474,сомневаться,55,2162
475,усмехнуться,55,2163
476,договориться,54.8,2168
477,предоставить,54.7,2173
478,удаваться,54.3,2184
479,сходить,54.2,2187
480,попадать,54.1,2190
481,пустить,54.1,2191
482,указывать,54,2195
483,терпеть,53.7,2202
484,сдать,53.6,2205
485,вывести,53.4,2210
486,выпускать,53.4,2211
487,вступить,53.1,2223
488,спорить,53.1,2224
489,вытащить,53,2227
490,победить,52.9,2231
491,посадить,52.9,2232
492,обсуждать,52.8,2237
493,заняться,52.7,2239
494,переходить,52.6,2246
495,торопиться,52.6,2249
496,выиграть,52.3,2256
497,надеть,52.1,2261
498,кормить,52,2265
499,переживать,51.6,2272
500,потребовать,51.6,2273
501,жалеть,51.4,2277
502,сохраниться,51.4,2280
503,вынести,51.3,2281
504,отказываться,51.2,2287
505,заглянуть,51,2292
506,защищать,51,2293
507,основать,51,2295
508,лишить,50.9,2299
509,пожать,50.9,2303
510,уезжать,50.7,2311
511,воскликнуть,50.5,2317
512,дрожать,50.5,2318
513,сообщать,50.3,2324
514,жениться,50,2330
515,лезть,50,2331
516,волноваться,49.9,2334
517,поразить,49.9,2336
518,велеть,49.8,2341
519,убивать,49.8,2345
520,решиться,49.7,2349
521,добраться,49.6,2352
522,задуматься,49.6,2354
523,нуждаться,49.5,2359
524,позвать,49.5,2360
525,удивляться,49.4,2367
526,здравствовать,49.3,2369
527,передавать,49.3,2371
528,скрывать,49.3,2374
529,запомнить,49.2,2376
530,подавать,49,2389
531,покинуть,49,2390
532,послушать,49,2391
533,пережить,48.9,2396
534,продолжить,48.8,2400
535,раздаться,48.8,2401
536,оказывать,48.2,2430
537,превышать,48.2,2431
538,ловить,48,2436
539,забрать,47.9,2438
540,испугаться,47.8,2441
541,утвердить,47.8,2442
542,применять,47.7,2446
543,убедиться,47.7,2448
544,заменить,47.6,2449
545,приглашать,47.5,2454
546,привлечь,47.4,2459
547,везти,47,2472
548,убрать,47,2474
549,предположить,46.9,2477
550,летать,46.6,2488
551,признавать,46.4,2499
552,повести,46.3,2501
553,подчеркнуть,46.3,2502
554,покрыть,46.3,2503
555,предпочитать,46.3,2505
556,прислать,46.3,2506
557,жаловаться,46.1,2511
558,решаться,46.1,2513
559,успокоиться,46.1,2514
560,исключить,46,2515
561,отсутствовать,45.9,2522
562,владеть,45.7,2530
563,торчать,45.5,2537
564,постараться,45.2,2546
565,соединить,45.2,2547
566,убедить,45.2,2548
567,задавать,45.1,2550
568,заложить,45,2552
569,реализовать,44.8,2562
570,выяснить,44.6,2566
571,исполнять,44.5,2568
572,общаться,44.5,2569
573,повернуть,44.5,2571
574,останавливаться,44.4,2573
575,совершать,44.2,2577
576,воевать,44.1,2578
577,выдавать,44.1,2579
578,задать,44.1,2580
579,ненавидеть,44.1,2581
580,родить,44.1,2582
581,наступать,44,2585
582,выявить,43.8,2590
583,предупредить,43.8,2592
584,набрать,43.7,2594
585,предназначить,43.7,2595
586,уничтожить,43.6,2602
587,учесть,43.6,2603
588,освободить,43.5,2606
589,воспринимать,43.4,2612
590,прекратить,43.4,2617
591,увеличить,43.3,2624
592,наблюдаться,43.2,2625
593,объединить,43.2,2627
594,подозревать,43.2,2628
595,справиться,43.2,2631
596,съесть,43.2,2632
597,вестись,43.1,2634
598,отнести,43.1,2636
599,упомянуть,43.1,2638
600,отдыхать,42.9,2646
601,проверять,42.9,2648
602,врать,42.8,2654
603,заработать,42.7,2659
604,превращаться,42.7,2660
605,создаваться,42.6,2666
606,плыть,42.5,2668
607,побывать,42.5,2669
608,рассматриваться,42.2,2688
609,уважать,42.2,2689
610,выскочить,42.1,2690
611,образоваться,42.1,2692
612,проговорить,42.1,2693
613,хранить,42.1,2694
614,обрадоваться,41.7,2706
615,пропустить,41.7,2708
616,танцевать,41.7,2710
617,дождаться,41.6,2713
618,избрать,41.6,2714
619,завести,41.5,2721
620,захватить,41.5,2722
621,оглянуться,41.5,2723
622,описывать,41.5,2724
623,сунуть,41.5,2725
624,исчезать,41.4,2727
625,разделить,41.4,2728
626,складываться,41.4,2729
627,последовать,41.2,2735
628,отражать,41.1,2738
629,приближаться,41,2742
630,вступать,40.9,2745
631,надоесть,40.9,2748
632,интересоваться,40.8,2752
633,подлежать,40.8,2754
634,произносить,40.8,2756
635,раскрыть,40.8,2757
636,арестовать,40.7,2760
637,целовать,40.7,2764
638,орать,40.6,2769
639,отвести,40.6,2770
640,тянуться,40.6,2771
641,достаться,40.5,2773
642,полагаться,40.5,2776
643,открываться,40.4,2785
644,сохранять,40.4,2787
645,воспользоваться,40.3,2791
646,махнуть,40.2,2799
647,приобретать,40.1,2810
648,сложить,40.1,2811
649,вскочить,40,2812
650,выражать,40,2813
651,понадобиться,40,2815
652,поглядеть,39.9,2820
653,сделаться,39.9,2821
654,поинтересоваться,39.8,2825
655,признаваться,39.7,2831
656,высказать,39.6,2834
657,ложиться,39.5,2842
658,проявить,39.5,2844
659,спуститься,39.5,2846
660,влиять,39.4,2851
661,довести,39.4,2852
662,содержаться,39.3,2858
663,подтверждать,39.2,2866
664,защитить,39.1,2869
665,исполнить,39.1,2871
666,заплатить,38.9,2875
667,управлять,38.9,2878
668,спрятать,38.8,2884
669,привлекать,38.7,2888
670,исследовать,38.6,2894
671,нанести,38.5,2902
672,приготовить,38.5,2903
673,прыгать,38.5,2904
674,вынудить,38.3,2909
675,пояснить,38.3,2911
676,контролировать,38.2,2915
677,применяться,38.2,2917
678,руководить,38.2,2918
679,строиться,38.2,2919
680,рассчитать,38.1,2924
681,шутить,38.1,2929
682,молиться,38,2932
683,восстановить,37.8,2942
684,вынуть,37.8,2943
685,рисовать,37.5,2963
686,рекомендовать,37.4,2968
687,приниматься,37.3,2974
688,настаивать,37.2,2978
689,придавать,37.1,2988
690,глянуть,37,2991
691,доставить,37,2992
692,замереть,37,2993
693,оказать,37,2995
694,планировать,36.8,3004
695,осуществить,36.7,3011
696,отозваться,36.7,3012
697,разбить,36.7,3013
698,разойтись,36.7,3014
699,перенести,36.6,3019
700,испытать,36.5,3026
701,закрывать,36.4,3032
702,окончить,36.4,3033
703,оценивать,36.4,3034
704,нарушить,35.9,3062
705,ощутить,35.9,3063
706,научить,35.8,3068
707,сопровождать,35.8,3071
708,пробовать,35.7,3081
709,стучать,35.7,3082
710,выставить,35.5,3096
711,напечатать,35.5,3097
712,прикрыть,35.5,3099
713,пускать,35.5,3100
714,сиять,35.5,3102
715,делиться,35.4,3105
716,проживать,35.4,3109
717,изобразить,35.3,3114
718,изучить,35.3,3115
719,подвести,35.3,3119
720,призвать,35.3,3120
721,производиться,35.3,3121
722,достигать,35.2,3124
723,допускать,35.1,3128
724,посылать,35.1,3130
725,утратить,35.1,3134
726,захотеться,35,3137
727,класть,35,3138
728,возразить,34.9,3145
729,грозить,34.9,3146
730,подобрать,34.9,3151
731,образовывать,34.8,3154
732,предполагаться,34.8,3156
733,проявлять,34.8,3157
734,устанавливать,34.8,3160
735,водить,34.7,3163
736,помолчать,34.6,3169
737,постоять,34.4,3180
738,сдавать,34.4,3182
739,демонстрировать,34.3,3186
740,посидеть,34.3,3190
741,распространить,34.3,3191
742,спускаться,34.3,3192
743,догадываться,34.2,3196
744,изображать,34.2,3197
745,бродить,34.1,3206
746,опираться,34,3222
747,посоветовать,34,3223
748,разглядывать,34,3224
749,задержать,33.9,3230
750,нарисовать,33.9,3233
751,одеть,33.9,3234
752,располагаться,33.9,3237
753,беседовать,33.8,3239
754,заболеть,33.8,3241
755,превратить,33.8,3245
756,доверять,33.7,3252
757,налить,33.7,3255
758,отдохнуть,33.7,3257
759,покачать,33.7,3258
760,течь,33.7,3260
761,гнать,33.6,3262
762,обусловить,33.6,3265
763,связывать,33.5,3273
764,удивить,33.5,3275
765,биться,33.4,3280
766,браться,33.3,3290
767,присесть,33.3,3294
768,тратить,33.3,3297
769,разрушить,33.2,3299
770,волновать,33.1,3300
771,окружить,33.1,3305
772,плавать,33.1,3306
773,развивать,33.1,3308
774,спасать,33.1,3309
775,видеться,33,3313
776,возглавлять,33,3314
777,обязать,33,3320
778,гордиться,32.9,3326
779,доказывать,32.9,3327
780,проявляться,32.9,3329
781,сообразить,32.9,3331
782,заказать,32.8,3333
783,трогать,32.8,3337
784,завершить,32.7,3339
785,отменить,32.6,3349
786,попасться,32.6,3351
787,поцеловать,32.6,3352
788,пугать,32.6,3353
789,избежать,32.5,3356
790,подхватить,32.5,3360
791,потрясти,32.5,3361
792,предоставлять,32.5,3362
793,советовать,32.5,3364
794,выбросить,32.4,3370
795,доложить,32.4,3371
796,объясняться,32.4,3374
797,скрыть,32.4,3377
798,обидеться,32.3,3381
799,отказать,32.3,3382
800,повесить,32.3,3383
801,посетить,32.3,3384
802,разбираться,32.3,3386
803,двинуться,32.2,3389
804,замолчать,32.2,3391
805,окружать,32.2,3393
806,успевать,32.2,3399
807,обрести,32.1,3402
808,подчеркивать,32.1,3404
809,переводить,32,3413
810,полезть,32,3414
811,храниться,32,3416
812,вырваться,31.8,3431
813,заинтересовать,31.8,3432
814,издать,31.8,3433
815,помешать,31.8,3434
816,ценить,31.8,3441
817,сравнить,31.7,3446
818,тащить,31.6,3454
819,совпадать,31.5,3458
820,благодарить,31.4,3459
821,направиться,31.4,3461
822,пообещать,31.4,3462
823,развернуть,31.4,3463
824,прозвучать,31.3,3474
825,соглашаться,31.3,3477
826,доставать,31.2,3483
827,зарегистрировать,31.2,3484
828,обмануть,31.2,3488
829,обнять,31.2,3489
830,оглядываться,31.2,3490
831,опасаться,31.2,3491
832,сменить,31.2,3495
833,рассуждать,31.1,3501
834,украсть,31.1,3504
835,заявлять,31,3507
836,ошибиться,31,3508
837,повысить,31,3510
838,поручить,31,3513
839,заполнить,30.9,3520
840,опуститься,30.9,3525
841,развести,30.9,3527
842,заплакать,30.8,3529
843,заслужить,30.8,3530
844,засыпать,30.8,3531
845,преодолеть,30.8,3536
846,трудиться,30.8,3538
847,пожалеть,30.7,3545
848,лечить,30.6,3552
849,валяться,30.5,3559
850,зарабатывать,30.5,3562
851,охватить,30.5,3564
852,предусматривать,30.5,3565
853,выражаться,30.4,3569
854,доходить,30.4,3570
855,обидеть,30.4,3572
856,обойти,30.4,3573
857,сломать,30.4,3578
858,вытянуть,30.3,3580
859,даваться,30.3,3581
860,отвернуться,30.3,3584
861,прощать,30.3,3587
862,рухнуть,30.3,3588
863,свернуть,30.3,3589
864,стесняться,30.3,3590
865,возражать,30.2,3591
866,выделяться,30.2,3593
867,осветить,30.2,3596
868,приступить,30.2,3597
869,пробормотать,30.2,3598
870,длиться,30.1,3602
871,изложить,30.1,3604
872,обозначить,30.1,3607
873,полюбить,30.1,3608
874,проиграть,30.1,3610
875,распахнуть,30.1,3612
876,провожать,30,3621
877,реагировать,30,3622
878,рисковать,30,3623
879,устроиться,30,3624
880,увеличиться,29.9,3631
881,кончить,29.8,3633
882,столкнуться,29.8,3638
883,заснуть,29.7,3640
884,свести,29.7,3644
885,отправляться,29.6,3648
886,сбить,29.6,3650
887,кончаться,29.5,3659
888,нарушать,29.5,3662
889,выпасть,29.4,3670
890,добиваться,29.4,3671
891,предупреждать,29.4,3674
892,прервать,29.4,3675
893,счесть,29.4,3679
894,варить,29.3,3684
895,полететь,29.3,3687
896,призывать,29.3,3688
897,выбраться,29.2,3693
898,выделять,29.2,3694
899,расстрелять,29.2,3699
900,разглядеть,29.1,3710
901,успокоить,29.1,3712
902,кинуться,29,3718
903,переставать,29,3720
904,формироваться,28.9,3736
905,заглядывать,28.8,3739
906,задумываться,28.8,3740
907,командовать,28.8,3741
908,мыть,28.8,3745
909,отобрать,28.8,3747
910,хохотать,28.8,3750
911,скрыться,28.7,3756
912,видать,28.6,3758
913,выжить,28.6,3759
914,выносить,28.6,3760
915,записывать,28.6,3763
916,перебить,28.6,3766
917,тронуть,28.6,3772
918,прятаться,28.4,3787
919,размышлять,28.4,3788
920,располагать,28.3,3797
921,ломать,28.2,3807
922,рваться,28.2,3811
923,беспокоиться,28.1,3818
924,заканчиваться,28.1,3819
925,оформить,28.1,3820
926,шептать,28.1,3825
927,миновать,28,3830
928,разделять,28,3834
929,сформулировать,28,3836
930,наполнить,27.9,3838
931,поздравлять,27.9,3842
932,покидать,27.9,3843
933,блестеть,27.8,3845
934,вносить,27.8,3846
935,коснуться,27.8,3849
936,потребоваться,27.8,3853
937,вложить,27.7,3857
938,понести,27.7,3863
939,прошептать,27.7,3865
940,рассмеяться,27.7,3866
941,творить,27.7,3870
942,планироваться,27.6,3879
943,уступать,27.6,3884
944,обсудить,27.5,3892
945,оторвать,27.5,3893
946,убежать,27.5,3895
947,добавлять,27.4,3898
948,поделиться,27.4,3903
949,потянуться,27.4,3904
950,выслушать,27.3,3907
951,набирать,27.3,3910
952,отрезать,27.3,3911
953,заботиться,27.2,3915
954,почитать,27.2,3920
955,вводить,27.1,3924
956,пожелать,27.1,3929
957,посещать,27.1,3930
958,потянуть,27.1,3931
959,походить,27.1,3932
960,прижать,27.1,3933
961,прислушиваться,27.1,3934
962,торговать,27.1,3936
963,гарантировать,27,3938
964,избавиться,27,3939
965,рождаться,27,3945
966,возрасти,26.9,3951
967,ограничить,26.9,3953
968,предлагаться,26.9,3957
969,предъявить,26.9,3958
970,прятать,26.9,3959
971,крутить,26.8,3964
972,разобрать,26.8,3968
973,ранить,26.8,3969
974,дружить,26.7,3973
975,расстаться,26.7,3979
976,уставиться,26.7,3980
977,закурить,26.6,3983
978,обсуждаться,26.6,3987
979,поглядывать,26.6,3988
980,дожидаться,26.5,3994
981,кивать,26.5,3995
982,сбросить,26.5,4001
983,уснуть,26.5,4002
984,сниться,26.4,4010
985,бормотать,26.3,4014
986,переехать,26.3,4017
987,послышаться,26.3,4018
988,противоречить,26.3,4021
989,расширить,26.3,4023
990,уточнить,26.3,4027
991,мучить,26.2,4035
992,сниматься,26.2,4039
993,уверять,26.2,4041
994,бросаться,26.1,4045
995,отложить,26.1,4050
996,отмечаться,26.1,4051
997,разбудить,26.1,4053
998,распространяться,26.1,4054
999,удержаться,26,4069
1000,пострадать,25.9,4074
1001,сократить,25.9,4076